date,fgi,sentiment,indicators_available,price_momentum,market_breadth,volatility,volume,margin_sentiment,limit_ratio,northbound,turnover
2005-01-04,,极度贪婪,1,,7.341269841269842,,,,,,
2005-01-05,,极度贪婪,1,,21.428571428571427,,,,,,
2005-01-06,,极度贪婪,1,,21.825396825396826,,,,,,
2005-01-07,,极度贪婪,1,,36.11111111111111,,,,,,
2005-01-10,,极度贪婪,1,,67.85714285714286,,,,,,
2005-01-11,,极度贪婪,1,,69.04761904761905,,,,,,
2005-01-12,,极度贪婪,1,,70.23809523809523,,,,,,
2005-01-13,,极度贪婪,1,,68.65079365079364,,,,,,
2005-01-14,,极度贪婪,1,,53.57142857142857,,,,,,
2005-01-17,,极度贪婪,1,,33.730158730158735,,,,,,
2005-01-18,,极度贪婪,1,,43.65079365079365,,,,,,
2005-01-19,,极度贪婪,1,,36.904761904761905,,,,,,
2005-01-20,,极度贪婪,1,,33.730158730158735,,,,,,
2005-01-21,,极度贪婪,1,,57.14285714285714,,,,,,
2005-01-24,,极度贪婪,1,,73.80952380952381,,,,,,
2005-01-25,,极度贪婪,1,,71.42857142857143,,,,,,
2005-01-26,,极度贪婪,1,,64.28571428571429,,,,,,
2005-01-27,,极度贪婪,1,,49.60317460317461,,,,,,
2005-01-28,,极度贪婪,1,,37.698412698412696,,,,,,
2005-01-31,,极度贪婪,1,,28.968253968253972,,,,,,
2005-02-01,,极度贪婪,1,,37.89682539682539,,,,,,
2005-02-02,,极度贪婪,1,,69.04761904761905,,,,,,
2005-02-03,,极度贪婪,1,,65.87301587301587,,,,,,
2005-02-04,,极度贪婪,1,,69.84126984126983,,,,,,
2005-02-16,,极度贪婪,1,,75.0,,,,,,
2005-02-17,,极度贪婪,1,,77.77777777777779,,,,,,
2005-02-18,,极度贪婪,1,,71.03174603174604,,,,,,
2005-02-21,,极度贪婪,1,,82.34126984126983,,,,,,
2005-02-22,,极度贪婪,1,,93.65079365079364,,,,,,
2005-02-23,,极度贪婪,1,,96.82539682539682,,,,,,
2005-02-24,,极度贪婪,1,,96.62698412698413,,,,,,
2005-02-25,,极度贪婪,1,,96.42857142857143,,,,,,
2005-02-28,,极度贪婪,1,,96.23015873015873,,,,,,
2005-03-01,,极度贪婪,1,,91.66666666666666,,,,,,
2005-03-02,,极度贪婪,1,,79.76190476190477,,,,,,
2005-03-03,,极度贪婪,1,,87.3015873015873,,,,,,
2005-03-04,,极度贪婪,1,,78.57142857142857,,,,,,
2005-03-07,,极度贪婪,1,,80.95238095238095,,,,,,
2005-03-08,,极度贪婪,1,,92.06349206349206,,,,,,
2005-03-09,,极度贪婪,1,,80.35714285714286,,,,,,
2005-03-10,,极度贪婪,1,,65.87301587301587,,,,,,
2005-03-11,,极度贪婪,1,,66.26984126984127,,,,,,
2005-03-14,,极度贪婪,1,,65.87301587301587,,,,,,
2005-03-15,,极度贪婪,1,,52.77777777777778,,,,,,
2005-03-16,,极度贪婪,1,,36.904761904761905,,,,,,
2005-03-17,,极度贪婪,1,,34.12698412698413,,,,,,
2005-03-18,,极度贪婪,1,,14.682539682539684,,,,,,
2005-03-21,,极度贪婪,1,,15.476190476190476,,,,,,
2005-03-22,,极度贪婪,1,,23.015873015873016,,,,,,
2005-03-23,,极度贪婪,1,,15.079365079365079,,,,,,
2005-03-24,,极度贪婪,1,,7.5396825396825395,,,,,,
2005-03-25,,极度贪婪,1,,15.476190476190476,,,,,,
2005-03-28,,极度贪婪,1,,23.809523809523807,,,,,,
2005-03-29,,极度贪婪,1,,16.071428571428573,,,,,,
2005-03-30,,极度贪婪,1,,7.738095238095238,,,,,,
2005-03-31,,极度贪婪,1,,15.674603174603174,,,,,,
2005-04-01,,极度贪婪,1,,50.0,,,,,,
2005-04-04,,极度贪婪,1,,26.190476190476193,,,,,,
2005-04-05,,极度贪婪,1,,32.93650793650794,,,,,,
2005-04-06,,极度贪婪,1,,64.28571428571429,,,,,,
